Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
javapoet,com.squareup.javapoet,LineWrapper,flush,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6cf9d125,113
javapoet,com.squareup.javapoet,MethodSpec,MethodSpec,Long Statement,The length of the statement "checkArgument(code.isEmpty() || !builder.modifiers.contains(Modifier.ABSTRACT)`"abstract method %s cannot have code"`builder.name);" is 131.,58
javapoet,com.squareup.javapoet,MethodSpec,MethodSpec,Long Statement,The length of the statement "checkArgument(!builder.varargs || lastParameterIsArray(builder.parameters)`"last parameter of varargs method %s must be an array"`builder.name);" is 144.,58
javapoet,com.squareup.javapoet,MethodSpec,emit,Complex Method,Cyclomatic complexity of the method is 11,83
javapoet,com.squareup.javapoet,MethodSpec,overriding,Complex Conditional,The conditional expression modifiers.contains(Modifier.PRIVATE) || modifiers.contains(Modifier.FINAL) || modifiers.contains(Modifier.STATIC) is complex.,195
javapoet,com.squareup.javapoet,NameAllocator,toJavaIdentifier,Complex Conditional,The conditional expression i == 0 && !Character.isJavaIdentifierStart(codePoint) && Character.isJavaIdentifierPart(codePoint) is complex.,128
javapoet,com.squareup.javapoet,ParameterizedTypeName,get,Long Statement,The length of the statement "ParameterizedType ownerType=(type.getOwnerType() instanceof ParameterizedType) && !Modifier.isStatic(((Class<?>)type.getRawType()).getModifiers()) ? (ParameterizedType)type.getOwnerType() : null;" is 195.,127
javapoet,com.squareup.javapoet,ParameterizedTypeName,get,Long Statement,The length of the statement "return (ownerType != null) ? get(ownerType`map).nestedClass(rawType.simpleName()`typeArguments) : new ParameterizedTypeName(null`rawType`typeArguments);" is 152.,127
javapoet,com.squareup.javapoet,TypeName,isBoxedPrimitive,Long Statement,The length of the statement "return this.equals(BOXED_BOOLEAN) || this.equals(BOXED_BYTE) || this.equals(BOXED_SHORT)|| this.equals(BOXED_INT)|| this.equals(BOXED_LONG)|| this.equals(BOXED_CHAR)|| this.equals(BOXED_FLOAT)|| this.equals(BOXED_DOUBLE);" is 221.,142
javapoet,com.squareup.javapoet,TypeName,box,Complex Method,Cyclomatic complexity of the method is 11,157
javapoet,com.squareup.javapoet,TypeName,unbox,Complex Method,Cyclomatic complexity of the method is 11,175
javapoet,com.squareup.javapoet,TypeName,get,Complex Method,Cyclomatic complexity of the method is 12,246
javapoet,com.squareup.javapoet,TypeName,get,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1b253c48,246
javapoet,com.squareup.javapoet,TypeName,visitPrimitive,Complex Method,Cyclomatic complexity of the method is 9,249
javapoet,com.squareup.javapoet,TypeName,visitPrimitive,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1b253c48,249
javapoet,com.squareup.javapoet,TypeName,visitDeclared,Long Statement,The length of the statement "TypeName enclosing=(enclosingType.getKind() != TypeKind.NONE) && !t.asElement().getModifiers().contains(Modifier.STATIC) ? enclosingType.accept(this`null) : null;" is 162.,272
javapoet,com.squareup.javapoet,TypeName,visitDeclared,Long Statement,The length of the statement "return enclosing instanceof ParameterizedTypeName ? ((ParameterizedTypeName)enclosing).nestedClass(rawType.simpleName()`typeArgumentNames) : new ParameterizedTypeName(null`rawType`typeArgumentNames);" is 199.,272
javapoet,com.squareup.javapoet,TypeName,get,Complex Method,Cyclomatic complexity of the method is 16,326
javapoet,com.squareup.javapoet,TypeSpec,emit,Complex Conditional,The conditional expression fieldSpecs.isEmpty() && methodSpecs.isEmpty() && typeSpecs.isEmpty() is complex.,186
javapoet,com.squareup.javapoet,TypeSpec,emit,Complex Method,Cyclomatic complexity of the method is 37,186
javapoet,com.squareup.javapoet,TypeSpec,emit,Long Method,The method has 135 lines of code.,186
javapoet,com.squareup.javapoet,Util,characterLiteralWithoutSingleQuotes,Complex Method,Cyclomatic complexity of the method is 9,89
javapoet,com.squareup.javapoet,Util,characterLiteralWithoutSingleQuotes,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2e4a1d6,89
javapoet,com.squareup.javapoet,Util,stringLiteralWithDoubleQuotes,Magic Number,The method contains a magic number: 2,105
javapoet,com.squareup.javapoet,AbstractTypesTest,errorTypes,Long Statement,The length of the statement "JavaFileObject hasErrorTypes=JavaFileObjects.forSourceLines("com.squareup.tacos.ErrorTypes"`"package com.squareup.tacos;"`""`"@SuppressWarnings(\"hook-into-compiler\")"`"class ErrorTypes {"`" Tacos tacos;"`" Ingredients.Guacamole guacamole;"`"}");" is 247.,80
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Long Statement,The length of the statement "assertThat(TypeName.get(typeVariables.get(3).asType())).isEqualTo(TypeVariableName.get("ExtendsTypeVariable"`TypeVariableName.get("Simple")));" is 142.,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Long Statement,The length of the statement "assertThat(TypeName.get(typeVariables.get(5).asType())).isEqualTo(TypeVariableName.get("IntersectionOfInterfaces"`runnable`serializable));" is 138.,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Magic Number,The method contains a magic number: 2,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Magic Number,The method contains a magic number: 3,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Magic Number,The method contains a magic number: 4,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Magic Number,The method contains a magic number: 5,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Magic Number,The method contains a magic number: 4,122
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirrorRecursive,Empty catch clause,The method has an empty catch block.,149
javapoet,com.squareup.javapoet,AbstractTypesTest,getArrayTypeMirror,Long Statement,The length of the statement "assertThat(TypeName.get(getTypes().getArrayType(getMirror(Object.class)))).isEqualTo(ArrayTypeName.of(ClassName.OBJECT));" is 121.,188
javapoet,com.squareup.javapoet,AbstractTypesTest,getNullTypeMirror,Empty catch clause,The method has an empty catch block.,198
javapoet,com.squareup.javapoet,AbstractTypesTest,unbox,Empty catch clause,The method has an empty catch block.,269
javapoet,com.squareup.javapoet,AbstractTypesTest,unbox,Empty catch clause,The method has an empty catch block.,269
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotatedEnclosingAndNestedType,Long Statement,The length of the statement "TypeName type=((ClassName)TypeName.get(Map.class).annotated(TYPE_USE_ANNOTATION)).nestedClass("Entry").annotated(TYPE_USE_ANNOTATION);" is 134.,129
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingAndNestedType,Long Statement,The length of the statement "TypeName type=((ClassName)TypeName.get(Map.class).annotated(TYPE_USE_ANNOTATION)).nestedClass("Entry").annotated(TYPE_USE_ANNOTATION);" is 134.,143
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotatedArrayTypeVarargsParameter,Long Statement,The length of the statement "MethodSpec varargsMethod=MethodSpec.methodBuilder("m").addParameter(ParameterSpec.builder(type`"p").build()).varargs().build();" is 127.,190
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotatedArrayTypeInVarargsParameter,Long Statement,The length of the statement "MethodSpec varargsMethod=MethodSpec.methodBuilder("m").addParameter(ParameterSpec.builder(type`"p").build()).varargs().build();" is 127.,205
javapoet,com.squareup.javapoet,AnnotationSpecTest,defaultAnnotation,Long Statement,The length of the statement "assertThat(toString(taco)).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import com.squareup.javapoet.AnnotationSpecTest;\n"+ "import java.lang.Double;\n"+ "import java.lang.Float;\n"+ "import java.lang.Override;\n"+ "\n"+ "@AnnotationSpecTest.HasDefaultsAnnotation(\n"+ " o = AnnotationSpecTest.Breakfast.PANCAKES`\n"+ " p = 1701`\n"+ " f = 11.1`\n"+ " m = {\n"+ " 9`\n"+ " 8`\n"+ " 1\n"+ " }`\n"+ " l = Override.class`\n"+ " j = @AnnotationSpecTest.AnnotationA`\n"+ " q = @AnnotationSpecTest.AnnotationC(\"bar\")`\n"+ " r = {\n"+ " Float.class`\n"+ " Double.class\n"+ " }\n"+ ")\n"+ "class Taco {\n"+ "}\n");" is 620.,120
javapoet,com.squareup.javapoet,AnnotationSpecTest,defaultAnnotationWithImport,Long Statement,The length of the statement "assertThat(file.toString()).isEqualTo("package com.squareup.javapoet;\n" + "\n" + "import java.lang.Double;\n"+ "import java.lang.Float;\n"+ "import java.lang.Override;\n"+ "\n"+ "@AnnotationSpecTest.HasDefaultsAnnotation(\n"+ " o = AnnotationSpecTest.Breakfast.PANCAKES`\n"+ " p = 1701`\n"+ " f = 11.1`\n"+ " m = {\n"+ " 9`\n"+ " 8`\n"+ " 1\n"+ " }`\n"+ " l = Override.class`\n"+ " j = @AnnotationSpecTest.AnnotationA`\n"+ " q = @AnnotationSpecTest.AnnotationC(\"bar\")`\n"+ " r = {\n"+ " Float.class`\n"+ " Double.class\n"+ " }\n"+ ")\n"+ "class IsAnnotated {\n"+ "}\n");" is 573.,157
javapoet,com.squareup.javapoet,AnnotationSpecTest,emptyArray,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "n = {}" + ")");" is 134.,193
javapoet,com.squareup.javapoet,AnnotationSpecTest,emptyArray,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "n = {}` m = {}" + ")");" is 142.,193
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "n = com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES" + ")");" is 191.,206
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "n = {" + "com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.WAFFLES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES"+ "})");" is 326.,206
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "n = {" + "com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.WAFFLES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES"+ "})");" is 326.,206
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "n = {" + "com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.WAFFLES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES"+ "` com.squareup.javapoet.AnnotationSpecTest.Breakfast.WAFFLES"+ "})");" is 390.,206
javapoet,com.squareup.javapoet,AnnotationSpecTest,defaultAnnotationToBuilder,Long Statement,The length of the statement "assertThat(builder.build().toString()).isEqualTo("@com.squareup.javapoet.AnnotationSpecTest.HasDefaultsAnnotation(" + "o = com.squareup.javapoet.AnnotationSpecTest.Breakfast.PANCAKES" + "` p = 1701"+ "` f = 11.1"+ "` m = {9` 8` 1` 123}"+ "` l = java.lang.Override.class"+ "` j = @com.squareup.javapoet.AnnotationSpecTest.AnnotationA"+ "` q = @com.squareup.javapoet.AnnotationSpecTest.AnnotationC(\"bar\")"+ "` r = {java.lang.Float.class` java.lang.Double.class}"+ ")");" is 469.,245
javapoet,com.squareup.javapoet,AnnotationSpecTest,defaultAnnotationToBuilder,Magic Number,The method contains a magic number: 123,245
javapoet,com.squareup.javapoet,AnnotationSpecTest,reflectAnnotation,Long Statement,The length of the statement "assertThat(toString(taco)).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import com.squareup.javapoet.AnnotationSpecTest;\n"+ "import java.lang.Double;\n"+ "import java.lang.Float;\n"+ "import java.lang.Override;\n"+ "\n"+ "@AnnotationSpecTest.HasDefaultsAnnotation(\n"+ " f = 11.1`\n"+ " l = Override.class`\n"+ " m = {\n"+ " 9`\n"+ " 8`\n"+ " 1\n"+ " }`\n"+ " o = AnnotationSpecTest.Breakfast.PANCAKES`\n"+ " p = 1701`\n"+ " q = @AnnotationSpecTest.AnnotationC(\"bar\")`\n"+ " r = {\n"+ " Float.class`\n"+ " Double.class\n"+ " }\n"+ ")\n"+ "class Taco {\n"+ "}\n");" is 577.,264
javapoet,com.squareup.javapoet,AnnotationSpecTest,reflectAnnotationWithDefaults,Long Statement,The length of the statement "assertThat(toString(taco)).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import com.squareup.javapoet.AnnotationSpecTest;\n"+ "import java.lang.Double;\n"+ "import java.lang.Float;\n"+ "import java.lang.Override;\n"+ "\n"+ "@AnnotationSpecTest.HasDefaultsAnnotation(\n"+ " a = 5`\n"+ " b = 6`\n"+ " c = 7`\n"+ " d = 8`\n"+ " e = 9.0f`\n"+ " f = 11.1`\n"+ " g = {\n"+ " '\\u0000'`\n"+ " '쫾'`\n"+ " 'z'`\n"+ " '€'`\n"+ " 'ℕ'`\n"+ " '\"'`\n"+ " '\\''`\n"+ " '\\t'`\n"+ " '\\n'\n"+ " }`\n"+ " h = true`\n"+ " i = AnnotationSpecTest.Breakfast.WAFFLES`\n"+ " j = @AnnotationSpecTest.AnnotationA`\n"+ " k = \"maple\"`\n"+ " l = Override.class`\n"+ " m = {\n"+ " 9`\n"+ " 8`\n"+ " 1\n"+ " }`\n"+ " n = {\n"+ " AnnotationSpecTest.Breakfast.WAFFLES`\n"+ " AnnotationSpecTest.Breakfast.PANCAKES\n"+ " }`\n"+ " o = AnnotationSpecTest.Breakfast.PANCAKES`\n"+ " p = 1701`\n"+ " q = @AnnotationSpecTest.AnnotationC(\"bar\")`\n"+ " r = {\n"+ " Float.class`\n"+ " Double.class\n"+ " }\n"+ ")\n"+ "class Taco {\n"+ "}\n");" is 1014.,298
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_nestedClass,Long Statement,The length of the statement "assertThat(ClassName.bestGuess(OuterClass.InnerClass.class.getCanonicalName())).isEqualTo(ClassName.get("com.squareup.javapoet"`"ClassNameTest"`"OuterClass"`"InnerClass"));" is 172.,55
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_defaultPackage,Long Statement,The length of the statement "assertThat(ClassName.bestGuess("SomeClass.Nested.EvenMore")).isEqualTo(ClassName.get(""`"SomeClass"`"Nested"`"EvenMore"));" is 122.,63
javapoet,com.squareup.javapoet,ClassNameTest,assertBestGuessThrows,Empty catch clause,The method has an empty catch block.,87
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromTypeElementDoesntUseGetKind,Long Statement,The length of the statement "assertThat(ClassName.get(preventGetKind(inner)).toString()).isEqualTo("com.squareup.javapoet.ClassNameTest.$Outer.$Inner");" is 123.,117
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromClass,Long Statement,The length of the statement "assertThat(ClassName.get(OuterClass.InnerClass.class).toString()).isEqualTo("com.squareup.javapoet.ClassNameTest.OuterClass.InnerClass");" is 137.,148
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromClass,Long Statement,The length of the statement "assertThat((ClassName.get($Outer.$Inner.class)).toString()).isEqualTo("com.squareup.javapoet.ClassNameTest.$Outer.$Inner");" is 123.,148
javapoet,com.squareup.javapoet,ClassNameTest,fromClassRejectionTypes,Empty catch clause,The method has an empty catch block.,172
javapoet,com.squareup.javapoet,ClassNameTest,fromClassRejectionTypes,Empty catch clause,The method has an empty catch block.,172
javapoet,com.squareup.javapoet,ClassNameTest,fromClassRejectionTypes,Empty catch clause,The method has an empty catch block.,172
javapoet,com.squareup.javapoet,CodeBlockTest,repeatedNamedArgument,Long Statement,The length of the statement "CodeBlock block=CodeBlock.builder().addNamed("\"I like \" + $text:S + \". Do you like \" + $text:S + \"?\""`map).build();" is 121.,133
javapoet,com.squareup.javapoet,CodeBlockTest,testJoining,Long Statement,The length of the statement "List<CodeBlock> codeBlocks=Arrays.asList(CodeBlock.of("String")`CodeBlock.of("name")`CodeBlock.of("=")`CodeBlock.of("\"John\""));" is 129.,350
javapoet,com.squareup.javapoet,FieldSpecTest,modifyAnnotations,Long Statement,The length of the statement "FieldSpec.Builder builder=FieldSpec.builder(int.class`"foo").addAnnotation(Override.class).addAnnotation(SuppressWarnings.class);" is 129.,51
javapoet,com.squareup.javapoet,FieldSpecTest,testToBuilder,Long Statement,The length of the statement "FieldSpec originalField=FieldSpec.builder(fieldType`fieldName`modifier).addJavadoc(javadoc).addAnnotation(annotation).initializer(initializer).build();" is 151.,68
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectUri,Long Statement,The length of the statement "assertThat(JavaFile.builder("com.example"`type).build().toJavaFileObject().toUri()).isEqualTo(URI.create("com/example/Test.java"));" is 131.,48
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectCharacterContent,Long Statement,The length of the statement "TypeSpec type=TypeSpec.classBuilder("Test").addJavadoc("Pi\u00f1ata\u00a1").addMethod(MethodSpec.methodBuilder("fooBar").build()).build();" is 138.,63
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectInputStreamIsUtf8,Long Statement,The length of the statement "JavaFile javaFile=JavaFile.builder("foo"`TypeSpec.classBuilder("Test").build()).addFileComment("Pi\u00f1ata\u00a1").build();" is 124.,76
javapoet,com.squareup.javapoet,FileReadingTest,compileJavaFile,Long Statement,The length of the statement "TypeSpec type=TypeSpec.classBuilder("Test").addModifiers(Modifier.PUBLIC).addSuperinterface(ParameterizedTypeName.get(Callable.class`String.class)).addMethod(MethodSpec.methodBuilder("call").returns(String.class).addModifiers(Modifier.PUBLIC).addStatement("return $S"`value).build()).build();" is 292.,86
javapoet,com.squareup.javapoet,FileReadingTest,compileJavaFile,Long Statement,The length of the statement "CompilationTask task=compiler.getTask(null`fileManager`diagnosticCollector`Collections.singletonList("-proc:none")`null`Collections.singleton(javaFile.toJavaFileObject()));" is 172.,86
javapoet,com.squareup.javapoet,FileReadingTest,compileJavaFile,Long Statement,The length of the statement "Callable<?> test=Class.forName("foo.Test"`true`loader).asSubclass(Callable.class).getDeclaredConstructor().newInstance();" is 121.,86
javapoet,com.squareup.javapoet,FileWritingTest,filerPassesOriginatingElements,Long Statement,The length of the statement "TypeSpec test2=TypeSpec.classBuilder("Test2").addOriginatingElement(element2_1).addOriginatingElement(element2_2).build();" is 122.,148
javapoet,com.squareup.javapoet,FileWritingTest,filerClassesWithTabIndent,Long Statement,The length of the statement "TypeSpec test=TypeSpec.classBuilder("Test").addField(Date.class`"madeFreshDate").addMethod(MethodSpec.methodBuilder("main").addModifiers(Modifier.PUBLIC`Modifier.STATIC).addParameter(String[].class`"args").addCode("$T.out.println($S);\n"`System.class`"Hello World!").build()).build();" is 284.,170
javapoet,com.squareup.javapoet,FileWritingTest,filerClassesWithTabIndent,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package foo;\n" + "\n"+ "import java.lang.String;\n"+ "import java.lang.System;\n"+ "import java.util.Date;\n"+ "\n"+ "class Test {\n"+ "\tDate madeFreshDate;\n"+ "\n"+ "\tpublic static void main(String[] args) {\n"+ "\t\tSystem.out.println(\"Hello World!\");\n"+ "\t}\n"+ "}\n");" is 315.,170
javapoet,com.squareup.javapoet,FileWritingTest,fileIsUtf8,Long Statement,The length of the statement "JavaFile javaFile=JavaFile.builder("foo"`TypeSpec.classBuilder("Taco").build()).addFileComment("Pi\u00f1ata\u00a1").build();" is 124.,201
javapoet,com.squareup.javapoet,FileWritingTest,fileIsUtf8,Long Statement,The length of the statement "assertThat(new String(Files.readAllBytes(fooPath)`UTF_8)).isEqualTo("" + "// Pi\u00f1ata\u00a1\n" + "package foo;\n"+ "\n"+ "class Taco {\n"+ "}\n");" is 149.,201
javapoet,com.squareup.javapoet,JavaFileTest,importStaticReadmeExample,Long Statement,The length of the statement "MethodSpec beyond=MethodSpec.methodBuilder("beyond").returns(listOfHoverboards).addStatement("$T result = new $T<>()"`listOfHoverboards`arrayList).addStatement("result.add($T.createNimbus(2000))"`hoverboard).addStatement("result.add($T.createNimbus(\"2001\"))"`hoverboard).addStatement("result.add($T.createNimbus($T.THUNDERBOLT))"`hoverboard`namedBoards).addStatement("$T.sort(result)"`Collections.class).addStatement("return result.isEmpty() ? $T.emptyList() : result"`Collections.class).build();" is 498.,54
javapoet,com.squareup.javapoet,JavaFileTest,importStaticReadmeExample,Long Statement,The length of the statement "JavaFile example=JavaFile.builder("com.example.helloworld"`hello).addStaticImport(hoverboard`"createNimbus").addStaticImport(namedBoards`"*").addStaticImport(Collections.class`"*").build();" is 189.,54
javapoet,com.squareup.javapoet,JavaFileTest,importStaticReadmeExample,Long Statement,The length of the statement "assertThat(example.toString()).isEqualTo("" + "package com.example.helloworld;\n" + "\n"+ "import static com.mattel.Hoverboard.Boards.*;\n"+ "import static com.mattel.Hoverboard.createNimbus;\n"+ "import static java.util.Collections.*;\n"+ "\n"+ "import com.mattel.Hoverboard;\n"+ "import java.util.ArrayList;\n"+ "import java.util.List;\n"+ "\n"+ "class HelloWorld {\n"+ " List<Hoverboard> beyond() {\n"+ " List<Hoverboard> result = new ArrayList<>();\n"+ " result.add(createNimbus(2000));\n"+ " result.add(createNimbus(\"2001\"));\n"+ " result.add(createNimbus(THUNDERBOLT));\n"+ " sort(result);\n"+ " return result.isEmpty() ? emptyList() : result;\n"+ " }\n"+ "}\n");" is 671.,54
javapoet,com.squareup.javapoet,JavaFileTest,importStaticForCrazyFormatsWorks,Long Statement,The length of the statement "JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addStaticBlock(CodeBlock.builder().addStatement("$T"`Runtime.class).addStatement("$T.a()"`Runtime.class).addStatement("$T.X"`Runtime.class).addStatement("$T$T"`Runtime.class`Runtime.class).addStatement("$T.$T"`Runtime.class`Runtime.class).addStatement("$1T$1T"`Runtime.class).addStatement("$1T$2L$1T"`Runtime.class`"?").addStatement("$1T$2L$2S$1T"`Runtime.class`"?").addStatement("$1T$2L$2S$1T$3N$1T"`Runtime.class`"?"`method).addStatement("$T$L"`Runtime.class`"?").addStatement("$T$S"`Runtime.class`"?").addStatement("$T$N"`Runtime.class`method).build()).build()).addStaticImport(Runtime.class`"*").build().toString();" is 687.,99
javapoet,com.squareup.javapoet,JavaFileTest,importStaticMixed,Long Statement,The length of the statement "JavaFile source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addStaticBlock(CodeBlock.builder().addStatement("assert $1T.valueOf(\"BLOCKED\") == $1T.BLOCKED"`Thread.State.class).addStatement("$T.gc()"`System.class).addStatement("$1T.out.println($1T.nanoTime())"`System.class).build()).addMethod(MethodSpec.constructorBuilder().addParameter(Thread.State[].class`"states").varargs(true).build()).build()).addStaticImport(Thread.State.BLOCKED).addStaticImport(System.class`"*").addStaticImport(Thread.State.class`"valueOf").build();" is 552.,123
